actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
12.5604,8.44,1.2,0,CLK,11.63,6,0
12.3039,8.79,1.2,0,CLKB,11.3925,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
3.5154,1.365,1.13,0,D_b,3.255,4,0
10.0953,8.79,0.5575,0,Q,9.3475,4,0
3.5154,1.365,1.13,0,QB,3.255,4,0
16.6752,10.2,1.96,0,VDD,15.44,7,0
16.6752,10.2,1.96,0,VSS,15.44,7,0
9.8145,6.115,1.57,0,z1,9.0875,6,0
8.7291,6.24,1.2,0,z2,8.0825,6,0
3.5154,1.365,1.13,0,z3,3.255,4,0
3.5154,1.365,1.13,0,z4,3.255,4,0
12.5685,8.665,1.57,0,z5,11.6375,6,0
