structure_name,is_top_level,is_unreachable
REUSABLE_AFTER__PINV_NW2430_PW7290_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__PINV_NW2430_PW7290_L50__PINV_NW180_PW270_L50_contact_11,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW180_PW270_L50_contact_11,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW180_PW270_L50_contact_11,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50_core,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW180_PW270_L50_contact_11,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50_core,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
REUSABLE_AFTER__PINV_NW270_PW810_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
