instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
upper_enable_stage/inv_a0,PINV,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 47.5875, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/inv_a0,PINV,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 47.5875, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/inv_a1,PINV,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 47.6975, ""rx"": 48.385, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/inv_a1,PINV,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 47.6975, ""rx"": 48.385, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/inv_a2,PINV,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 48.495, ""rx"": 49.1825, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/inv_a2,PINV,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 48.495, ""rx"": 49.1825, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_0,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 49.2925, ""rx"": 51.3375, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_0,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 49.2925, ""rx"": 51.3375, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_0,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 51.4475, ""rx"": 53.1475, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and2_en_0,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 51.4475, ""rx"": 53.1475, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_2,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 53.2575, ""rx"": 55.3025, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_2,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 53.2575, ""rx"": 55.3025, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_2,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 55.4125, ""rx"": 57.1125, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_1938"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and2_en_2,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 55.4125, ""rx"": 57.1125, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_4,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 57.2225, ""rx"": 59.2675, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_4,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 57.2225, ""rx"": 59.2675, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_4,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 59.3775, ""rx"": 61.0775, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and2_en_4,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 59.3775, ""rx"": 61.0775, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_6,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 61.1875, ""rx"": 63.2325, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_6,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 61.1875, ""rx"": 63.2325, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_6,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 63.3425, ""rx"": 65.0425, ""uy"": 6.12}",via2_924,9,4,True,via2_924,"[""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and2_en_6,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 63.3425, ""rx"": 65.0425, ""uy"": 4.3}",via2_954,5,2,True,via2_954,"[""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_1,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 48.945, ""uy"": 10.1075}",via2_924,15,6,True,via2_924,"[""m1_3089"", ""m1_963"", ""via1_964"", ""m2_965"", ""via1_959"", ""m1_958"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_1,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 48.945, ""uy"": 8.2875}",via2_954,14,6,True,via2_954,"[""m1_3090"", ""m1_974"", ""via1_975"", ""m2_976"", ""via1_970"", ""m1_969"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_1,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 49.055, ""rx"": 50.755, ""uy"": 10.1075}",via2_924,15,6,True,via2_924,"[""m1_960"", ""m1_963"", ""via1_964"", ""m2_965"", ""via1_959"", ""m1_958"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and2_en_1,AND2,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 49.055, ""rx"": 50.755, ""uy"": 8.2875}",via2_954,14,6,True,via2_954,"[""m1_971"", ""m1_974"", ""via1_975"", ""m2_976"", ""via1_970"", ""m1_969"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_3,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 50.865, ""rx"": 52.91, ""uy"": 10.1075}",via2_924,15,6,True,via2_924,"[""m1_960"", ""m1_963"", ""via1_964"", ""m2_965"", ""via1_959"", ""m1_958"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_3,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 50.865, ""rx"": 52.91, ""uy"": 8.2875}",via2_954,14,6,True,via2_954,"[""m1_971"", ""m1_974"", ""via1_975"", ""m2_976"", ""via1_970"", ""m1_969"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_3,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 53.02, ""rx"": 54.72, ""uy"": 10.1075}",via2_924,15,6,True,via2_924,"[""m1_960"", ""m1_963"", ""via1_964"", ""m2_965"", ""via1_959"", ""m1_958"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and2_en_3,AND2,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 53.02, ""rx"": 54.72, ""uy"": 8.2875}",via2_954,14,6,True,via2_954,"[""m1_971"", ""m1_974"", ""via1_975"", ""m2_976"", ""via1_970"", ""m1_969"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and3_pre_5,AND3,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 54.83, ""rx"": 56.875, ""uy"": 10.1075}",via2_924,15,6,True,via2_924,"[""m1_960"", ""m1_963"", ""via1_964"", ""m2_965"", ""via1_959"", ""m1_958"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
upper_enable_stage/and3_pre_5,AND3,R0,VSS,m1,"{""by"": 8.2225, ""layer"": ""m1"", ""lx"": 54.83, ""rx"": 56.875, ""uy"": 8.2875}",via2_954,14,6,True,via2_954,"[""m1_971"", ""m1_974"", ""via1_975"", ""m2_976"", ""via1_970"", ""m1_969"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
upper_enable_stage/and2_en_5,AND2,R0,VDD,m1,"{""by"": 10.0425, ""layer"": ""m1"", ""lx"": 56.985, ""rx"": 58.685, ""uy"": 10.1075}",via2_924,15,6,True,via2_924,"[""m1_960"", ""m1_963"", ""via1_964"", ""m2_965"", ""via1_959"", ""m1_958"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
