cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW180_PW540_L50,PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,PINV_NW180_PW540_L50_core[0]/PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p[0],D,11,0,0.34,1.425,contact_58,False,False,True,PTX_INTERNAL_TERMINAL,1,D|Z
PINV_NW180_PW540_L50,PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,PINV_NW180_PW540_L50_core[0]/PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p[1],G,9,0,0.2325,0.215,contact_76,False,False,True,PTX_INTERNAL_TERMINAL,1,A|G
PINV_NW180_PW540_L50,PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,PINV_NW180_PW540_L50_core[0]/PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p[1],S,11,0,0.125,0.215,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW180_PW540_L50,PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,PINV_NW180_PW540_L50_core[0]/PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p[1],D,11,0,0.34,0.215,contact_58,False,False,True,PTX_INTERNAL_TERMINAL,1,D|Z
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,A,11,0,0.14,0.8175,contact_282,True,False,False,TOP_WRAPPER_CANONICAL,2,A|G
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,Z,11,0,2.0375,0.8175,contact_264,True,False,False,TOP_WRAPPER_CANONICAL,2,D|G|Z
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,VDD,11,0,1.994,1.82,contact_270,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VDD|vdd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,VSS,11,0,1.994,0.0,contact_276,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VSS|gnd
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_core,PINV_NW2430_PW7290_L50_core[0],A,11,0,0.14,0.8175,contact_282,True,False,False,CORE_CANONICAL_DUPLICATE,2,A|G
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_core,PINV_NW2430_PW7290_L50_core[0],Z,11,0,2.0375,0.8175,contact_264,True,False,False,CORE_CANONICAL_DUPLICATE,2,D|G|Z
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50_core,PINV_NW2430_PW7290_L50_core[0],gnd,11,0,1.994,0.0,contact_276,False,True,False,CORE_ALIAS,1,S|VSS|gnd
