config_id,hierarchical_instance_path,parent_instance_path,parent_module,child_module,source_instance_template,source_line,loop_variable_values,branch_condition,branch_active,concrete_parameters,child_pin_order,parent_net_connections,normalized_parent_net_connections,instance_classification,resolved_physical_cell_name
16x16_read&write,TIME.dff_buf_addr.dff_2.tg1,TIME.dff_buf_addr.dff_2,DFF,TRANSMISSION_GATE,'tg1',223,{},,True,"{""nmos_model"": ""NMOS_VTG"", ""pmos_model"": ""PMOS_VTG""}","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""D_b"", ""z1"", ""CLK"", ""CLKB""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.D_b"", ""TIME.dff_buf_addr.dff_2.z1"", ""clk_buf"", ""TIME.dff_buf_addr.dff_2.CLKB""]",APPROVED_LEAF_PRIMITIVE,TRANSMISSION_GATE_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.inv3,TIME.dff_buf_addr.dff_2,DFF,PINV,'inv3',227,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z1"", ""z2""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.z1"", ""TIME.dff_buf_addr.dff_2.z2""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.inv4,TIME.dff_buf_addr.dff_2,DFF,PINV,'inv4',231,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z3""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.z2"", ""TIME.dff_buf_addr.dff_2.z3""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.tg2,TIME.dff_buf_addr.dff_2,DFF,TRANSMISSION_GATE,'tg2',234,{},,True,"{""nmos_model"": ""NMOS_VTG"", ""pmos_model"": ""PMOS_VTG""}","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""z3"", ""z1"", ""CLKB"", ""CLK""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.z3"", ""TIME.dff_buf_addr.dff_2.z1"", ""TIME.dff_buf_addr.dff_2.CLKB"", ""clk_buf""]",APPROVED_LEAF_PRIMITIVE,TRANSMISSION_GATE_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.inv5,TIME.dff_buf_addr.dff_2,DFF,PINV,'inv5',239,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z4""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.z2"", ""TIME.dff_buf_addr.dff_2.z4""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.tg3,TIME.dff_buf_addr.dff_2,DFF,TRANSMISSION_GATE,'tg3',242,{},,True,"{""nmos_model"": ""NMOS_VTG"", ""pmos_model"": ""PMOS_VTG""}","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""z4"", ""z5"", ""CLKB"", ""CLK""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.z4"", ""TIME.dff_buf_addr.dff_2.z5"", ""TIME.dff_buf_addr.dff_2.CLKB"", ""clk_buf""]",APPROVED_LEAF_PRIMITIVE,TRANSMISSION_GATE_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.inv6,TIME.dff_buf_addr.dff_2,DFF,PINV,'inv6',246,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z5"", ""Q""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.z5"", ""A_dff2""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.inv7,TIME.dff_buf_addr.dff_2,DFF,PINV,'inv7',250,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""Q"", ""QB""]","[""VDD"", ""VSS"", ""A_dff2"", ""TIME.dff_buf_addr.dff_2.QB""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_2.tg4,TIME.dff_buf_addr.dff_2,DFF,TRANSMISSION_GATE,'tg4',254,{},,True,"{""nmos_model"": ""NMOS_VTG"", ""pmos_model"": ""PMOS_VTG""}","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""QB"", ""z5"", ""CLK"", ""CLKB""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_2.QB"", ""TIME.dff_buf_addr.dff_2.z5"", ""clk_buf"", ""TIME.dff_buf_addr.dff_2.CLKB""]",APPROVED_LEAF_PRIMITIVE,TRANSMISSION_GATE_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_3,TIME.dff_buf_addr,ADDR_DFF,DFF,f'dff_{i}',440,"{""i"": 3}",,True,"{""nmos_model"": ""NMOS_VTG"", ""pmos_model"": ""PMOS_VTG""}","[""VDD"", ""VSS"", ""D"", ""Q"", ""CLK""]","[""VDD"", ""VSS"", ""A3"", ""A_dff3"", ""CLK""]","[""VDD"", ""VSS"", ""A3"", ""A_dff3"", ""clk_buf""]",COMPOSITE_INSTANCE,
16x16_read&write,TIME.dff_buf_addr.dff_3.inv1_clk,TIME.dff_buf_addr.dff_3,DFF,PINV,'inv1_clk',216,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""CLK"", ""CLKB""]","[""VDD"", ""VSS"", ""clk_buf"", ""TIME.dff_buf_addr.dff_3.CLKB""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_3.inv2_D,TIME.dff_buf_addr.dff_3,DFF,PINV,'inv2_D',220,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""D"", ""D_b""]","[""VDD"", ""VSS"", ""A3"", ""TIME.dff_buf_addr.dff_3.D_b""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_3.tg1,TIME.dff_buf_addr.dff_3,DFF,TRANSMISSION_GATE,'tg1',223,{},,True,"{""nmos_model"": ""NMOS_VTG"", ""pmos_model"": ""PMOS_VTG""}","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""D_b"", ""z1"", ""CLK"", ""CLKB""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_3.D_b"", ""TIME.dff_buf_addr.dff_3.z1"", ""clk_buf"", ""TIME.dff_buf_addr.dff_3.CLKB""]",APPROVED_LEAF_PRIMITIVE,TRANSMISSION_GATE_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_3.inv3,TIME.dff_buf_addr.dff_3,DFF,PINV,'inv3',227,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z1"", ""z2""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_3.z1"", ""TIME.dff_buf_addr.dff_3.z2""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
16x16_read&write,TIME.dff_buf_addr.dff_3.inv4,TIME.dff_buf_addr.dff_3,DFF,PINV,'inv4',231,{},,True,"{""length"": 5e-08, ""nmos_model"": ""NMOS_VTG"", ""nmos_width"": 2.5e-07, ""num"": 1, ""pmos_model"": ""PMOS_VTG"", ""pmos_width"": 5e-07}","[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z3""]","[""VDD"", ""VSS"", ""TIME.dff_buf_addr.dff_3.z2"", ""TIME.dff_buf_addr.dff_3.z3""]",APPROVED_LEAF_PRIMITIVE,PINV_NW250_PW500_L50
